"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Biyanwila S.J.","Biyanwila, S. Janaka (56419858600)","56419858600","Debt crisis and popular social protest in Sri Lanka: Citizenship, development and democracy within global north-south dynamics","2023","Debt Crisis and Popular Social Protest in Sri Lanka: Citizenship, Development and Democracy Within Global North-South Dynamics","","","","1","226","225","1","10.1108/9781837970223","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174144327&doi=10.1108%2f9781837970223&partnerID=40&md5=79bfd3d21c6e3acdd921d3b245711bfe","Book","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85174144327"
"Sudiyatno B.; Bagana B.D.; Hardiyanti W.; Puspitasari E.; Safitri S.D.","Sudiyatno, Bambang (57214105553); Bagana, Batara Daniel (58785963400); Hardiyanti, Widhian (58786480600); Puspitasari, Elen (57214110696); Safitri, Siska Dwi (58786984900)","57214105553; 58785963400; 58786480600; 57214110696; 58786984900","The role of corporate social responsibility as a moderating factor in influencing bank performance in Indonesia","2024","Banks and Bank Systems","19","1","","1","11","10","4","10.21511/bbs.19(1).2024.01","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180972570&doi=10.21511%2fbbs.19%281%29.2024.01&partnerID=40&md5=c75d2e1ee4c7c0bed01488d7effd1379","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85180972570"
"Kuang W.","Kuang, Wei (57219056769)","57219056769","The heterogeneity of the diversification effect of sustainable development goals related exchange-traded funds","2024","Journal of Sustainable Finance and Investment","14","2","","366","387","21","1","10.1080/20430795.2021.1992336","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118122305&doi=10.1080%2f20430795.2021.1992336&partnerID=40&md5=094f50d75c03020a7a2961fdd42f8a10","Article","Final","","Scopus","2-s2.0-85118122305"
"Aburto Barrera L.I.; Wagner J.","Aburto Barrera, Laura Iveth (58245051200); Wagner, Joël (36180428100)","58245051200; 36180428100","A systematic literature review on sustainability issues along the value chain in insurance companies and pension funds","2023","European Actuarial Journal","13","2","","653","701","48","6","10.1007/s13385-023-00349-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159137968&doi=10.1007%2fs13385-023-00349-1&partnerID=40&md5=612add2bb79b3df5ff884d9eba40e1db","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85159137968"
"van Zanten J.A.; Rein B.","van Zanten, Jan Anton (57217066677); Rein, Bruno (58560314900)","57217066677; 58560314900","Who owns (un)sustainable companies? Examining institutional determinants of sustainable investing","2023","Journal of Cleaner Production","422","","138542","","","","2","10.1016/j.jclepro.2023.138542","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169620960&doi=10.1016%2fj.jclepro.2023.138542&partnerID=40&md5=ca72be1300d1d3e19c3d0510223c16a5","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85169620960"
"Kayser C.; Zülch H.","Kayser, Christoph (58848554100); Zülch, Henning (26536981700)","58848554100; 26536981700","Understanding the Relevance of Sustainability in Mergers and Acquisitions—A Systematic Literature Review on Sustainability and Its Implications throughout Deal Stages","2024","Sustainability (Switzerland)","16","2","613","","","","1","10.3390/su16020613","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183344929&doi=10.3390%2fsu16020613&partnerID=40&md5=9d3eca57236501a3a95968299f5ea0fa","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85183344929"
"Li W.; Loviscek A.","Li, Wenhui (57557660200); Loviscek, Anthony (6602795458)","57557660200; 6602795458","Searching for Market-Outperforming ESG-Equity Mutual Funds","2023","Journal of Wealth Management","26","3","","123","139","16","0","10.3905/JWM.2023.1.225","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176798129&doi=10.3905%2fJWM.2023.1.225&partnerID=40&md5=d0766a5747b40809b5f805a2bb2452de","Article","Final","","Scopus","2-s2.0-85176798129"
"Poligkeit J.; Fugger T.; Herrmann C.","Poligkeit, Joseph (57203135570); Fugger, Thomas (58479225900); Herrmann, Christoph (35764295500)","57203135570; 58479225900; 35764295500","Decarbonization in the Automotive Sector: A Holistic Status Quo Analysis of Original Equipment Manufacturer Strategies and Carbon Management Activities","2023","Sustainability (Switzerland)","15","22","15753","","","","2","10.3390/su152215753","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197466202&doi=10.3390%2fsu152215753&partnerID=40&md5=a90a794cf93d907de0cd794e77bd4f88","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85197466202"
"Shahzad U.; Ghaemi Asl M.; Khalfaoui R.; Tedeschi M.","Shahzad, Umer (58959539400); Ghaemi Asl, Mahdi (57224334355); Khalfaoui, Rabeh (12646573300); Tedeschi, Marco (57937247600)","58959539400; 57224334355; 12646573300; 57937247600","Extreme contributions of conventional investments vis-à-vis Islamic ones to renewables","2024","Renewable and Sustainable Energy Reviews","189","","113932","","","","3","10.1016/j.rser.2023.113932","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176231670&doi=10.1016%2fj.rser.2023.113932&partnerID=40&md5=9dd3df40c7024976650f29bf8c2718a8","Article","Final","","Scopus","2-s2.0-85176231670"
"Husse T.; Pippo F.","Husse, Thomas (57233353100); Pippo, Federico (57194568091)","57233353100; 57194568091","Responsible Minus Irresponsible - a determinant of equity risk premia?","2024","Journal of Sustainable Finance and Investment","14","3","","619","641","22","6","10.1080/20430795.2021.1961557","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113672848&doi=10.1080%2f20430795.2021.1961557&partnerID=40&md5=1ecab989e6f76b01783fe78e9cd64770","Article","Final","","Scopus","2-s2.0-85113672848"
"Liu K.; Wang J.; Liu L.; Huang Y.","Liu, Kai (58182939600); Wang, Jiang (58306154000); Liu, Liqun (58685507200); Huang, Yingjun (57352939700)","58182939600; 58306154000; 58685507200; 57352939700","Mixed-ownership reform of SOEs and ESG performance: Evidence from China","2023","Economic Analysis and Policy","80","","","1618","1641","23","13","10.1016/j.eap.2023.10.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176138819&doi=10.1016%2fj.eap.2023.10.016&partnerID=40&md5=73ec7305d75004a4bfdb7bd5a54295c3","Article","Final","","Scopus","2-s2.0-85176138819"
"O’Brien E.; Coneybeer J.; Boersma M.; Payne A.","O’Brien, Erin (53980396200); Coneybeer, Justine (57736145200); Boersma, Martijn (55746146600); Payne, Alice (51061558300)","53980396200; 57736145200; 55746146600; 51061558300","Political investorism: Conceptualising the political participation of shareholders and investors","2023","International Political Science Review","44","5","","609","626","17","4","10.1177/01925121221098863","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131753459&doi=10.1177%2f01925121221098863&partnerID=40&md5=bb0ced6e7f53ae62e15a7c3639c3f23e","Article","Final","","Scopus","2-s2.0-85131753459"
"Carvalho L.; Mota C.; Ramos P.","Carvalho, Luísa (59112259200); Mota, Carlos (57361565100); Ramos, Patrícia (7103233146)","59112259200; 57361565100; 7103233146","Socially Responsible Investment Funds—An Analysis Applied to Funds Domiciled in the Portuguese and Spanish Markets","2024","Risks","12","1","9","","","","2","10.3390/risks12010009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183409948&doi=10.3390%2frisks12010009&partnerID=40&md5=572f3de6a684b97778ba9922d1e09f3f","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85183409948"
"García-Amate A.; Ramírez-Orellana A.; Rojo-Ramírez A.A.; Casado-Belmonte M.P.","García-Amate, Antonio (57211407437); Ramírez-Orellana, Alicia (57211405926); Rojo-Ramírez, Alfonso A. (36129691400); Casado-Belmonte, M. Pilar (57205611607)","57211407437; 57211405926; 36129691400; 57205611607","Do ESG controversies moderate the relationship between CSR and corporate financial performance in oil and gas firms?","2023","Humanities and Social Sciences Communications","10","1","749","","","","5","10.1057/s41599-023-02256-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175165350&doi=10.1057%2fs41599-023-02256-y&partnerID=40&md5=ab10cff0bc9a922a98147166eed39d19","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85175165350"
"Wan J.; Yin L.; Wu Y.","Wan, Jieru (58185547600); Yin, Libo (48362101200); Wu, You (57200439259)","58185547600; 48362101200; 57200439259","Return and volatility connectedness across global ESG stock indexes: Evidence from the time-frequency domain analysis","2024","International Review of Economics and Finance","89","","","397","428","31","39","10.1016/j.iref.2023.10.038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174198776&doi=10.1016%2fj.iref.2023.10.038&partnerID=40&md5=6f86258475440ab371de80b17e1210f4","Article","Final","","Scopus","2-s2.0-85174198776"
"Hadi N.; Baihaqi J.; Rakhmawati I.; Udin U.","Hadi, Nor (57211788873); Baihaqi, Jadzil (57221558296); Rakhmawati, Ita (58843796700); Udin, Udin (57200685026)","57211788873; 57221558296; 58843796700; 57200685026","CORPORATE SOCIAL RESPONSIBILITY OBSCURATION STRATEGY: THE INEFFECTIVENESS OF SOCIAL ACCOUNTING IN CSR IMPLEMENTATION","2024","Corporate and Business Strategy Review","5","1","","54","65","11","1","10.22495/cbsrv5i1art6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183182832&doi=10.22495%2fcbsrv5i1art6&partnerID=40&md5=959b2b82c5e316bb182d0f0ea9fedf55","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85183182832"
"Dragomir V.D.; Dumitru M.","Dragomir, Voicu D. (25228602200); Dumitru, Mădălina (31667475700)","25228602200; 31667475700","Does corporate governance improve integrated reporting quality? A meta-analytical investigation","2023","Meditari Accountancy Research","31","6","","1846","1885","39","8","10.1108/MEDAR-03-2022-1618","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147656667&doi=10.1108%2fMEDAR-03-2022-1618&partnerID=40&md5=3d545ddc9e6ac79b7ebdd67fcdabd288","Review","Final","","Scopus","2-s2.0-85147656667"
"Alghamdi O.A.; Agag G.","Alghamdi, Omar. A. (57218760749); Agag, Gomaa (56332822900)","57218760749; 56332822900","Unlocking the Power of Reporting: Exploring the Link between Voluntary Sustainability Reporting, Customer Behavior, and Firm Value","2023","Sustainability (Switzerland)","15","21","15584","","","","7","10.3390/su152115584","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179497067&doi=10.3390%2fsu152115584&partnerID=40&md5=c540d4e1643d6eb95158026b14eaeb3c","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85179497067"
