"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Bauckloh T.; Schaltegger S.; Utz S.; Zeile S.; Zwergel B.","Bauckloh, Tobias (57201802258); Schaltegger, Stefan (6602922601); Utz, Sebastian (55098733100); Zeile, Sebastian (57226414894); Zwergel, Bernhard (26644632100)","57201802258; 6602922601; 55098733100; 57226414894; 26644632100","Active First Movers vs. Late Free-Riders? An Empirical Analysis of UN PRI Signatories’ Commitment","2023","Journal of Business Ethics","182","3","","747","781","34","13","10.1007/s10551-021-04992-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119823384&doi=10.1007%2fs10551-021-04992-0&partnerID=40&md5=5503d857b62d700303ec217aefa709d9","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85119823384"
"Diener J.","Diener, Joel (57219319169)","57219319169","Impact case or impact washing? An analysis of investors’ strategies to influence corporate behavior","2023","Sustainability Accounting, Management and Policy Journal","14","5","","1002","1021","19","7","10.1108/SAMPJ-02-2022-0088","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141380775&doi=10.1108%2fSAMPJ-02-2022-0088&partnerID=40&md5=99cf3539834089dfd1ee17f91aec299c","Review","Final","","Scopus","2-s2.0-85141380775"
"Folqué M.; Escrig-Olmedo E.; Corzo Santamaría M.T.","Folqué, María (6506388842); Escrig-Olmedo, Elena (55450203500); Corzo Santamaría, María Teresa (56177893100)","6506388842; 55450203500; 56177893100","Contribution of sustainable investment to sustainable development within the framework of the SDGS: the role of the asset management industry","2023","Sustainability Accounting, Management and Policy Journal","14","5","","1075","1100","25","9","10.1108/SAMPJ-01-2022-0044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144207936&doi=10.1108%2fSAMPJ-01-2022-0044&partnerID=40&md5=a1a0201ffd1ca5ae128a4801bc70ef05","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85144207936"
"Kavadis N.; Thomsen S.","Kavadis, Nikolaos (55750473600); Thomsen, Steen (7101839726)","55750473600; 7101839726","Sustainable corporate governance: A review of research on long-term corporate ownership and sustainability","2023","Corporate Governance: An International Review","31","1","","198","226","28","38","10.1111/corg.12486","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137782866&doi=10.1111%2fcorg.12486&partnerID=40&md5=3eca1a476169a7fbceb70a6f4081ad53","Review","Final","","Scopus","2-s2.0-85137782866"
"Babu S.; Vineeth K.M.","Babu, Shabna (58309874300); Vineeth, K.M. (58309296200)","58309874300; 58309296200","Antecedents to ethical investing behaviour","2023","AIP Conference Proceedings","2773","","030008","","","","0","10.1063/5.0138930","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161473722&doi=10.1063%2f5.0138930&partnerID=40&md5=3782eb3ec67cffc3f9666c42f23bedda","Conference paper","Final","","Scopus","2-s2.0-85161473722"
"Klinkowska O.; Zhao Y.","Klinkowska, Olga (56414939900); Zhao, Yuan (57204825386)","56414939900; 57204825386","Fund flows and performance: New evidence from retail and institutional SRI mutual funds","2023","International Review of Financial Analysis","87","","102596","","","","5","10.1016/j.irfa.2023.102596","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148702983&doi=10.1016%2fj.irfa.2023.102596&partnerID=40&md5=08bb46fe57580f68fbf68994ea297a7d","Article","Final","","Scopus","2-s2.0-85148702983"
"Giannarakis G.; Andronikidis A.; Zopounidis C.; Sariannidis N.; Tsagarakis K.P.","Giannarakis, Grigoris (26534099800); Andronikidis, Andreas (22940301000); Zopounidis, Constantin (7004152244); Sariannidis, Nikolaos (15136803700); Tsagarakis, Konstantinos P. (6602413806)","26534099800; 22940301000; 7004152244; 15136803700; 6602413806","Determinants of Global Reporting Initiative report: A comparative study between USA and European companies","2023","Sustainable Production and Consumption","35","","","376","387","11","5","10.1016/j.spc.2022.11.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145441795&doi=10.1016%2fj.spc.2022.11.014&partnerID=40&md5=f47432b4f0ce8152ef964f14f5cf6e79","Article","Final","","Scopus","2-s2.0-85145441795"
"Jain J.; Walia N.; Singla H.; Singh S.; Sood K.; Grima S.","Jain, Jinesh (58332146600); Walia, Nidhi (55443122400); Singla, Himanshu (57218997376); Singh, Simarjeet (57218610219); Sood, Kiran (57217078494); Grima, Simon (57151215400)","58332146600; 55443122400; 57218997376; 57218610219; 57217078494; 57151215400","Heuristic Biases as Mental Shortcuts to Investment Decision-Making: A Mediation Analysis of Risk Perception","2023","Risks","11","4","72","","","","5","10.3390/risks11040072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153787095&doi=10.3390%2frisks11040072&partnerID=40&md5=1a7df44131c2d511441f94d4908bd227","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85153787095"
"Stiadi D.","Stiadi, Doni (58395927100)","58395927100","Moderating Environmental, Social, and Governance (ESG) risk in the relationship between investment decisions and firm value","2023","IOP Conference Series: Earth and Environmental Science","1177","1","012007","","","","1","10.1088/1755-1315/1177/1/012007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163367337&doi=10.1088%2f1755-1315%2f1177%2f1%2f012007&partnerID=40&md5=4f976b94d1b0e3c469586100bfb17da4","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85163367337"
"Ramírez-Orellana A.; Martínez-Victoria M.C.; García-Amate A.; Rojo-Ramírez A.A.","Ramírez-Orellana, Alicia (57211405926); Martínez-Victoria, MCarmen (57191543489); García-Amate, Antonio (57211407437); Rojo-Ramírez, Alfonso A. (36129691400)","57211405926; 57191543489; 57211407437; 36129691400","Is the corporate financial strategy in the oil and gas sector affected by ESG dimensions?","2023","Resources Policy","81","","103303","","","","20","10.1016/j.resourpol.2023.103303","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146439274&doi=10.1016%2fj.resourpol.2023.103303&partnerID=40&md5=a15292cce29fe51e70b9db1d087d934d","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85146439274"
