"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Yamamura E.","Yamamura, Eiji (7003685151)","7003685151","THE EFFECT OF PROVIDING PEER INFORMATION ON EVALUATION FOR GENDER-EQUALIZED AND ESG-ORIENTED FIRMS: AN INTERNET SURVEY EXPERIMENT","2022","Singapore Economic Review","","","","","","","0","10.1142/S0217590822460031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143436947&doi=10.1142%2fS0217590822460031&partnerID=40&md5=b6239e86e549de9a5afe11f1db96d417","Article","Article in press","All Open Access; Green Open Access","Scopus","2-s2.0-85143436947"
"Gonzalez-Perez M.A.; Cordova M.","Gonzalez-Perez, Maria Alejandra (22834292600); Cordova, Miguel (57216613494)","22834292600; 57216613494","Redefining multinational operations: The impact of CSR on international business policy","2024","Handbook of International Business Policy","","","","190","210","20","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194126338&partnerID=40&md5=829f8e297fa1a08d0b3cf7d974bbef18","Book chapter","Final","","Scopus","2-s2.0-85194126338"
"Hasan M.B.; Verma R.; Sharma D.; Moghalles S.A.M.; Hasan S.A.S.","Hasan, Murad Baqis (57732765200); Verma, Ruchita (57719762700); Sharma, Dhanraj (57720192900); Moghalles, Sami A.M. (57918455400); Hasan, Saqr Ali Saleh (58879777000)","57732765200; 57719762700; 57720192900; 57918455400; 58879777000","The impact of environmental, social, and governance (ESG) practices on customer behavior towards the brand in light of digital transformation: perceptions of university students","2024","Cogent Business and Management","11","1","2371063","","","","1","10.1080/23311975.2024.2371063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197728569&doi=10.1080%2f23311975.2024.2371063&partnerID=40&md5=111ebe7d59b4561d3da2a0a6628633c4","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85197728569"
"Singh K.; Yadav J.; Kolar P.; Selvi S.","Singh, Kuldeep (57688287300); Yadav, Jitendra (57221601702); Kolar, Prasanna (57226316040); Selvi, S. (58132272200)","57688287300; 57221601702; 57226316040; 58132272200","CSR and Blockchain technology: A proposed model for sustainable growth","2022","2nd IEEE International Conference on Advanced Technologies in Intelligent Control, Environment, Computing and Communication Engineering, ICATIECE 2022","","","","","","","0","10.1109/ICATIECE56365.2022.10047647","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149569144&doi=10.1109%2fICATIECE56365.2022.10047647&partnerID=40&md5=a6dfea434ff0d6b2263db2c7346b1d47","Conference paper","Final","","Scopus","2-s2.0-85149569144"
"Nejati M.; Shafaei A.","Nejati, Mehran (23012852000); Shafaei, Azadeh (23013234600)","23012852000; 23013234600","Why do employees respond differently to corporate social responsibility? A study of substantive and symbolic corporate social responsibility","2023","Corporate Social Responsibility and Environmental Management","30","4","","2066","2080","14","13","10.1002/csr.2474","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150698388&doi=10.1002%2fcsr.2474&partnerID=40&md5=7dfaf58d84336e55eb9928d232162b4c","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85150698388"
"Chua N.; Miska C.; Mair J.; Stahl G.K.","Chua, Nathania (59286274600); Miska, Christof (37665575800); Mair, Johanna (35969477900); Stahl, Günter K. (8904494700)","59286274600; 37665575800; 35969477900; 8904494700","PURPOSE IN MANAGEMENT RESEARCH: NAVIGATING A COMPLEX AND FRAGMENTED AREA OF STUDY","2024","Academy of Management Annals","18","2","","755","787","32","2","10.5465/annals.2022.0186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200053975&doi=10.5465%2fannals.2022.0186&partnerID=40&md5=daa864b213be5ebb39673baf20830c11","Article","Final","","Scopus","2-s2.0-85200053975"
"Gomez-Valencia M.; Gonzalez-Perez M.A.; Gomez-Trujillo A.M.","Gomez-Valencia, Manuela (57222866652); Gonzalez-Perez, Maria Alejandra (22834292600); Gomez-Trujillo, Ana Maria (57213607386)","57222866652; 22834292600; 57213607386","The “Six Ws” of sustainable development risks","2021","Business Strategy and the Environment","30","7","","3131","3144","13","14","10.1002/bse.2794","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104102537&doi=10.1002%2fbse.2794&partnerID=40&md5=4cd2b97a2d2eb47243f96ea52c09c738","Article","Final","","Scopus","2-s2.0-85104102537"
"Bax K.; Broccardo E.; Paterlini S.","Bax, Karoline (57224641552); Broccardo, Eleonora (55911831300); Paterlini, Sandra (6506617467)","57224641552; 55911831300; 6506617467","Environmental, social, and governance factor and financial returns: what is the relationship? Investigating environmental, social, and governance factor models","2024","Current Opinion in Environmental Sustainability","66","","101398","","","","2","10.1016/j.cosust.2023.101398","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181910308&doi=10.1016%2fj.cosust.2023.101398&partnerID=40&md5=1c9a2ec862a3beff48b02e2661f46be1","Review","Final","","Scopus","2-s2.0-85181910308"
"Tatomir M.; Kabderian Dreyer J.; Sund K.J.; Yu J.","Tatomir, Mirel (58174992700); Kabderian Dreyer, Johannes (55752639900); Sund, Kristian J. (56608053700); Yu, Jiang (55682120100)","58174992700; 55752639900; 56608053700; 55682120100","Warm-Glow Investing and the Greenwashing Hypothesis","2023","Journal of Cleaner Production","419","","138229","","","","4","10.1016/j.jclepro.2023.138229","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166281874&doi=10.1016%2fj.jclepro.2023.138229&partnerID=40&md5=991b6ee68625d50bd0f5b3c420e816a6","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85166281874"
"Kleffel P.; Muck M.","Kleffel, Philipp (57983252400); Muck, Matthias (35237708500)","57983252400; 35237708500","The confusion of taste and consumption: Evidence from a stated-choice experiment","2024","Journal of Behavioral and Experimental Finance","43","","100964","","","","0","10.1016/j.jbef.2024.100964","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201758828&doi=10.1016%2fj.jbef.2024.100964&partnerID=40&md5=4ef4374955d5b93fd84e73b2a18a8384","Article","Final","","Scopus","2-s2.0-85201758828"
