"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2003","2003","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,218993.83,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2004","2004","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,220479,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2005","2005","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,214666.95,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2006","2006","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,209523.76,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2007","2007","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,208077.85,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2008","2008","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,207941.41,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2009","2009","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,202300.72,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2010","2010","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,214236.64,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2011","2011","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,199922.92,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2012","2012","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,195581.75,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2013","2013","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,195278.02,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2014","2014","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,187053.58,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2015","2015","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,194015.91,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2016","2016","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,194644.49,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2017","2017","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,191991.17,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2018","2018","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,186759.63,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2019","2019","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,180936.87,,
