"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_P","1 - Energy (%)","2021","2021","PC","Percentage","0","Units",,,79.12,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","1990","1990","PC","Percentage","0","Units",,,14.856,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","1991","1991","PC","Percentage","0","Units",,,14.343,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","1992","1992","PC","Percentage","0","Units",,,14.164,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","1993","1993","PC","Percentage","0","Units",,,13.888,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","1994","1994","PC","Percentage","0","Units",,,13.82,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","1995","1995","PC","Percentage","0","Units",,,13.963,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","1996","1996","PC","Percentage","0","Units",,,13.532,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","1997","1997","PC","Percentage","0","Units",,,13.571,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","1998","1998","PC","Percentage","0","Units",,,13.234,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","1999","1999","PC","Percentage","0","Units",,,13.235,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","2000","2000","PC","Percentage","0","Units",,,13.227,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","2001","2001","PC","Percentage","0","Units",,,12.827,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","2002","2002","PC","Percentage","0","Units",,,12.566,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","2003","2003","PC","Percentage","0","Units",,,12.491,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","2004","2004","PC","Percentage","0","Units",,,12.346,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","2005","2005","PC","Percentage","0","Units",,,12.255,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","2006","2006","PC","Percentage","0","Units",,,12.062,,
