"COUNTRY","Country","SECTOR","Sector","CATEGORY","Category","VARIABLE","Variable","CURRENCY","Currency","YEAR","Year","Value","Flag Codes","Flags"
"AUT","Austria","NONROADE","All energy use sectors (CO2) except road transport","ALL","Total excluding biofuels CO2","ECRATE","Effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",46.351955,,
"AUT","Austria","NONROADE","All energy use sectors (CO2) except road transport","ALL","Total excluding biofuels CO2","NETECR","Net effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",46.351955,,
"AUT","Austria","OFFROAD","Off-road (Energy CO2)","ALL","Total excluding biofuels CO2","TAXBCO","Potential tax base, in kt of CO2e","EURREAL","EUR, real 2021 base  ","2021","2021",798.28101,,
"AUT","Austria","OFFROAD","Off-road (Energy CO2)","ALL","Total excluding biofuels CO2","FUETAX","Fuel excise tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",18.377487,,
"AUT","Austria","OFFROAD","Off-road (Energy CO2)","ALL","Total excluding biofuels CO2","CARBTAX","Carbon tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","OFFROAD","Off-road (Energy CO2)","ALL","Total excluding biofuels CO2","MPERPRI","ETS permit price, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",5.9672017,,
"AUT","Austria","OFFROAD","Off-road (Energy CO2)","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","OFFROAD","Off-road (Energy CO2)","ALL","Total excluding biofuels CO2","ECRATE","Effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",24.344688,,
"AUT","Austria","OFFROAD","Off-road (Energy CO2)","ALL","Total excluding biofuels CO2","NETECR","Net effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",24.344688,,
"AUT","Austria","INDUSTRY","Industry (Energy CO2)","ALL","Total excluding biofuels CO2","TAXBCO","Potential tax base, in kt of CO2e","EURREAL","EUR, real 2021 base  ","2021","2021",28944.568,,
